제품명,제품군 대분류,제품군 중분류,제품군 소분류,업체명,업체주소,생산지,출처,처분권자,조치일자,조치내용,위반내용,기타
일리크(iliq) 룸스프레이(비기닝오브스프링),방향제류,방향제,방향제,[제조/판매] 일리크(iliq),"서울특별시 성북구 보문로30나길 8-1, 1층 102호(동선동2가)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-05-31,"제조금지,판매금지,회수명령",안전·표시기준 위반[신고 미실시 및 표시사항 미표기], 신고증명서 발급(2023.04.03.) 이전 제품 회수대상으로 신고번호(CB21-12-2427) 표시제품 유통 가능
페인팅 수채화 캔들(버터레몬),기타류,초,초,[제조/판매] 일리크(iliq),"서울특별시 성북구 보문로30나길 8-1, 1층 102호(동선동2가)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-05-31,"제조금지,판매금지,회수명령",안전·표시기준 위반[신고 미실시 및 표시사항 미표기], 신고증명서 발급(2023.03.30) 이전 제품 회수대상으로 신고번호(CB20-26-1362) 표시제품 유통 가능
크리스마스 트리 캔들(퓨어코튼 향),기타류,초,초,[제조/판매] 레트로메이드,"경기도 고양시 일산동구 산두로 128, 903동 3층 3호",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-05-31,"제조금지,판매금지,회수명령",안전·표시기준 위반[신고 미실시 및 표시사항 미표기], 신고증명서 발급(2023.03.15) 이전 제품 회수대상으로 신고번호(CB21-26-1578) 표시제품 유통 가능
오감 드레스퍼퓸 (Ladyish Pink향),방향제류,방향제,방향제,[제조/판매] 퍼퓨머리랩오감(031-984-7977),경기도 김포시 양촌읍 양곡4로 84 123호,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-02,"제조금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기], 신고증명서 발급(2023.04.13) 이전 제품 회수대상으로 신고번호(CB23-12-0394) 표시제품 유통 가능
오감 퀸 디퓨저,방향제류,방향제,방향제,[제조/판매] 퍼퓨머리랩오감(031-984-7977),경기도 김포시 양촌읍 양곡4로 84 123호,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-02,"제조금지,판매금지,회수명령",안전·표시기준 위반[신고 미실시 및 표시사항 미표기], 신고증명서 발급(2023.01.17) 이전 제품 회수대상으로 신고번호(CB22-12-1161) 표시제품 유통 가능
오감 룸스프레이 (Ladyish Pink향),방향제류,방향제,방향제,[제조/판매] 퍼퓨머리랩오감(031-984-7977),경기도 김포시 양촌읍 양곡4로 84 123호,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-02,"제조금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기], 신고증명서 발급(2023.03.17) 이전 제품 회수대상으로 신고번호(CB23-12-0394) 표시제품 유통 가능
오감 차량용 가죽 방향제 (Matilda향),방향제류,방향제,방향제,[제조/판매] 퍼퓨머리랩오감(031-984-7977),경기도 김포시 양촌읍 양곡4로 84 123호,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-02,"제조금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기], 신고증명서 발급(2023.02.23) 이전 제품 회수대상으로 신고번호(CB23-12-0395) 표시제품 유통 가능
오감 킹 캔들,기타류,초,초,[제조/판매] 퍼퓨머리랩오감(031-984-7977),경기도 김포시 양촌읍 양곡4로 84 123호,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-02,"제조금지,판매금지,회수명령",안전·표시기준 위반[신고 미실시 및 표시사항 미표기], 신고증명서 발급(2023.01.26) 이전 제품 회수대상으로 신고번호(CB22-26-0822) 표시제품 유통 가능
봄봄솝 곰돌이 석고방향제 만들기 1인 KIT (플로리스트),방향제류,방향제,방향제,[제조/판매] 봄상회,"경기도 화성시 동탄지성로 314, B동 3층 303호",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-02,"제조금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
캔샤 왁스타블렛(로향),방향제류,방향제,방향제,[제조/판매] 캔샤,"경기도 용인시 수지구 성복1로291번길 14-1, 지층(성복동)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-02,"제조금지,판매금지,회수명령",안전·표시기준 위반[신고 미실시 및 표시사항 미표기], 신고증명서 발급(2023.04.07) 이전 제품 회수대상으로 신고번호(DB21-12-0020) 표시제품 유통 가능
차량방향제(피톤치드향),방향제류,방향제,방향제,[제조/판매] 아이수피아,"인천연수구 센트럴로 313, B2102호",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-01,"제조금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],CB22-12-2335 신고번호 기재 등 표시기준 준수하여 2022.10.7.이후 제조한 제품은 유통가능
투명파워에폭시접착제,코팅/접착제류,접착제,접착제,[제조] 유에스캠,서울 동대문구 답십리로 48,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-01,"제조금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
캠핑캔들,기타류,초,초,[제조/판매] 에이치케이메디(070-8868-0268),"경기 부천시 길주로77번길 61, 305호",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-02,"제조금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
멀티클리어 폼 스프레이,세제류,세정제,세정제,[판매] 에이치케이메디(070-8868-0268),"경기 부천시 길주로77번길 61, 305호",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-02,판매금지 및 회수명령,안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
룸스프레이(오드우드),방향제류,방향제,방향제,[제조/판매] 윤솔빈,서울 서초구 효령로72길 14,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-02,"제조금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
차량용 석고방향제(페루 헬리오트로프),방향제류,방향제,방향제,[제조/판매] 윤솔빈,서울 서초구 효령로72길 14,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-02,"제조금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
크리스탈 마블캔들(재즈클럽),기타류,초,초,[제조/판매] 윤솔빈,서울 서초구 효령로72길 14,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-02,"제조금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
올케어500,기타류,"살균제, 탈취제",탈취제/살균제,[제조] 에이치엠피엔씨㈜(02-6335-0179),"서울 금천구 가산디지털2로 108, 1215호",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-05,"제조금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
natural vauzen 100% 식물효소 탈취제,방향제류,탈취제,탈취제,[제조/판매] ㈜청담엘앤에이치(구.㈜청담코퍼레이션)(02-6925-1181),"주소는 서울 강남구 도산대로331(신사동), 5층",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-05,"제조금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
배러댄센트 타블렛(클린코튼향),방향제류,방향제,방향제,[제조/판매] 배러댄센트,"경상북도 포항시 북구 중앙로 308, 2층",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,대구지방환경청,2023-06-07,"제조금지, 판매금지, 회수명령",안전기준적합 확인 미실시 및 표시기준 위반제품 제조·판매,
보르도 캡슐 세제,세제류,세탁세제,세탁세제,[수입/판매] 드래프트(0507-1324-3027),"경기도 시흥시 시흥대로360번길 9, 202동 1103호",일본,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-01,"수입금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
암웨이 스프레이세제 단품,세제류,세탁세제,세탁세제,[수입/판매] 판다마켓,경기도 평택시 중앙2로 13 평택동 센텀스카이 6층 602-1-669호,중국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-01,"수입금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],판다마켓에서 판매한 건에 한함
조말론 차량용 방향제3종세트,방향제류,방향제,방향제,[수입/판매] 판다마켓,경기도 평택시 중앙2로 13 평택동 센텀스카이 6층 602-1-669호,중국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-01,"수입금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],판다마켓에서 판매한 건에 한함
헬로데이지 아로마 힐링패치,방향제류,방향제,방향제-마스크용/일반용,[판매] 소이스튜디오,"서울특별시 송파구 석촌호수로18길 8-14, 1층",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-05-31,"판매금지, 회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],제조업체 (주)세니스튜디오에서 신고증명서 발급(2023.5.24.) 이전 제품이 회수대상으로 신고번호(HB21-12-1038) 표시제품 유통 가능
나노코코아브라운,미용제품,문신용 염료,문신용 염료,[제조/판매] 미용닷컴(031-848-3569),경기도 양주시 마전로 113번길 43,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-05-31,"제조금지,판매금지,회수명령","안전기준 위반[확인을 받은 내용과 다르게 제조*함량제한물질(구리,아연) 함량기준 초과 및 함유금지물질(니켈,비소,납), 균 검출]",FB20-20-0012호 신고번호 사용 제품 모두 판매금지 및 회수
나노모카브라운,미용제품,문신용 염료,문신용 염료,[제조/판매] 미용닷컴(031-848-3569),경기도 양주시 마전로 113번길 43,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-05-31,"제조금지,판매금지,회수명령","안전기준 위반[확인을 받은 내용과 다르게 제조*함량제한물질(아연) 함량기준 초과 및 함유금지물질(니켈,비소), 균 검출]",FB20-20-0012호 신고번호 사용 제품 모두 판매금지 및 회수
나노그레이브라운,미용제품,문신용 염료,문신용 염료,[제조/판매] 미용닷컴(031-848-3569),경기도 양주시 마전로 113번길 43,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-05-31,"제조금지,판매금지,회수명령","안전기준 위반[확인을 받은 내용과 다르게 제조*함량제한물질(아연) 함량기준 초과 및 함유금지물질(니켈,비소), 균 검출]",FB20-20-0012호 신고번호 사용 제품 모두 판매금지 및 회수
